id,parent,title_ru,description_ru,cost_resource,cost_amount,effect_value
Scientific1,,Магические стрелы,Кристалл на башне портала теперь может стрелять.,MagicOre,1,1
Scientific1.1,Scientific1,Крепкие стены,Повышает здоровье башни портала на 20%.,Stone,2,1.2
Scientific1.2,Scientific1,Уменьшение времени на открытие гекса на 50%,Уменьшает время открытия гекса на 50%.,MagicOre,5,0.5
Scientific1.3,Scientific1,Заточить топоры,Уменьшает время рубки леса на 20%.,Stone,2,0.8
Scientific1.4,Scientific1,Бесшумная разведка,Уменьшает на 1 количество тревоги при открытии гекса.,MagicOre,1,1
Scientific1.1.1,Scientific1.1,Фонарь 2,Открывает 2-й фонарь для работы с гексами.,MagicOre,5,1
Scientific1.1.1.1,Scientific1.1.1,Фонарь 3,Открывает 3-й фонарь для работы с гексами.,MagicOre,10,1
Scientific1.1.1.1.1,Scientific1.1.1.1,Фонарь 4,Открывает 4-й фонарь для работы с гексами.,MagicOre,15,1
Scientific1.1.1.1.1.1,Scientific1.1.1.1.1,Фонарь 5,Открывает 5-й фонарь для работы с гексами.,MagicOre,20,1
Scientific1.1.1.1.1.1.1,Scientific1.1.1.1.1.1,Фонарь 6,Открывает 6-й фонарь для работы с гексами.,MagicOre,25,1
